
1.	視差角を調整可能な両眼立体視のための複数カメラを用いた同期撮影システムの検討
2.	簡易的秘密計算によるクラウド利用インタフェースの開発と応用
3.	ゲーミフィケーションを利用した歩行者ナビゲーションのための情報収集
4.	キャッシュを用いたChordの検索負荷分散方式
5.	AP分布調査に基づくWi-Fiチャネル占有モデルによるチャネル選択手法の評価
6.	車載ECUソフトウェア更新の検討
7.	災害復旧時の物資輸送を利用したDTNに向けた検討
8.	ローリングシャッター効果を用いた可視光通信における調光を可能にする符号化法の検討
9.	Consideration on Monitoring Scheme to Secure Link State Routing against Byzantine Attacks
10.	アプリケーションの細粒度原因分析に基づくクラウドサービス障害対処手法の検討
11.	OpenStack 環境でのオーケストレーション定義のためのGUI エディタの実現と評価
12.	Two-Steps Independent Approach for Rule-based Complex Event Processing
13.	通信接続性を重視した可動ノードの未知領域協調探索手法
14.	異世界放送システムのための映像処理ルール記述方式
15.	３次元空間上の電波強度推定・可視化システム
16.	マーカを利用した間取り図自動作成システムの提案
17.	ScreenFinder : Demo for joint rectangle detection and perspective correction
18.	一時的グルーピング手法の提案
19.	移動型エージェントを活用した安全な電子メニュー個人化システム
20.	稼働率と構築コストのバランスを考慮したプライベートクラウドシステムに関するデモンストレーション
21.	移動エージェントとサンドボックスによる安全なサービス個人化手法
22.	OSSのパケット解析ライブラリを使用し，プログラミング言語からパケット解析を行う手法の提案
23.	セルラ通信システムにおける端末間マルチキャスト通信を利用した下りトラヒックオフロード技術の検討
24.	ICT-DIGを用いた津波避難ルートのバリアフリー環境情報共有の検討
25.	災害時情報共有における積極的な情報提供を促す情報提供のための情報価値決定手法の設計
26.	SDNとコグニティブ無線を基盤とした災害に強いネバー・ダイ・ネットワークシステムの開発と評価
27.	大容量計算のための複数クラウドを使った動的並列分散処理フレームワークの提案
28.	Contact Zoneを用いたボロノイ図作成の並列化による処理時間短縮手法
29.	帯域幅が異なるクライアントの混在環境における分割放送型配信システムの実装と評価
30.	スキージャンプのためのビデオ即時共有システム
31.	受信ノード主導型MACプロトコルのビーコン削減に基づいた長寿命センサネットワーク
32.	参加型センシングにおけるセルラ通信の負荷軽減のための端末間データ収集方式
33.	屋内施設利用者の歩行通路決定のためのWi-Fi電波強度を用いた人数推定手法の検討
34.	在室者の温熱快適性把握のためのスポット室温予測手法
35.	アナログ出力焦電型赤外線センサを活用したスマートホーム向け宅内行動認識
36.	WMSNにおけるRSSIとカメラを併用した位置推定手法
37.	Crowd Density Estimation in Railway Stations
38.	車車間通信を用いた測域センサ情報の共有にもとづく前方車両群の相対位置把握
39.	路面状態情報共有のための車載型・路肩型通信システム
40.	インフラレスの動的走行経路案内のための双方向シミュレーションの実装と評価
41.	オンデマンドバスのための乗り換えを含むリアルタイムルートスケジューリング
42.	サーバレスなIoTアプリケーションの構築基盤におけるユーザマッチング手法の設計と評価
